Date,DateKey,Day,Month,MonthNo,MonthShort,Quarter,Year
2019-01-01 00:00:00,20190101,Tuesday,January,1,Jan,1,2019
2019-01-02 00:00:00,20190102,Wednesday,January,1,Jan,1,2019
2019-01-03 00:00:00,20190103,Thursday,January,1,Jan,1,2019
2019-01-04 00:00:00,20190104,Friday,January,1,Jan,1,2019
2019-01-05 00:00:00,20190105,Saturday,January,1,Jan,1,2019
2019-01-06 00:00:00,20190106,Sunday,January,1,Jan,1,2019
2019-01-07 00:00:00,20190107,Monday,January,1,Jan,1,2019
2019-01-08 00:00:00,20190108,Tuesday,January,1,Jan,1,2019
2019-01-09 00:00:00,20190109,Wednesday,January,1,Jan,1,2019
2019-01-10 00:00:00,20190110,Thursday,January,1,Jan,1,2019
2019-01-11 00:00:00,20190111,Friday,January,1,Jan,1,2019
2019-01-12 00:00:00,20190112,Saturday,January,1,Jan,1,2019
2019-01-13 00:00:00,20190113,Sunday,January,1,Jan,1,2019
2019-01-14 00:00:00,20190114,Monday,January,1,Jan,1,2019
2019-01-15 00:00:00,20190115,Tuesday,January,1,Jan,1,2019
2019-01-16 00:00:00,20190116,Wednesday,January,1,Jan,1,2019
2019-01-17 00:00:00,20190117,Thursday,January,1,Jan,1,2019
2019-01-18 00:00:00,20190118,Friday,January,1,Jan,1,2019
2019-01-19 00:00:00,20190119,Saturday,January,1,Jan,1,2019
2019-01-20 00:00:00,20190120,Sunday,January,1,Jan,1,2019
2019-01-21 00:00:00,20190121,Monday,January,1,Jan,1,2019
2019-01-22 00:00:00,20190122,Tuesday,January,1,Jan,1,2019
2019-01-23 00:00:00,20190123,Wednesday,January,1,Jan,1,2019
2019-01-24 00:00:00,20190124,Thursday,January,1,Jan,1,2019
2019-01-25 00:00:00,20190125,Friday,January,1,Jan,1,2019
2019-01-26 00:00:00,20190126,Saturday,January,1,Jan,1,2019
2019-01-27 00:00:00,20190127,Sunday,January,1,Jan,1,2019
2019-01-28 00:00:00,20190128,Monday,January,1,Jan,1,2019
2019-01-29 00:00:00,20190129,Tuesday,January,1,Jan,1,2019
2019-01-30 00:00:00,20190130,Wednesday,January,1,Jan,1,2019
2019-01-31 00:00:00,20190131,Thursday,January,1,Jan,1,2019
2019-02-01 00:00:00,20190201,Friday,February,2,Feb,1,2019
2019-02-02 00:00:00,20190202,Saturday,February,2,Feb,1,2019
2019-02-03 00:00:00,20190203,Sunday,February,2,Feb,1,2019
2019-02-04 00:00:00,20190204,Monday,February,2,Feb,1,2019
2019-02-05 00:00:00,20190205,Tuesday,February,2,Feb,1,2019
2019-02-06 00:00:00,20190206,Wednesday,February,2,Feb,1,2019
2019-02-07 00:00:00,20190207,Thursday,February,2,Feb,1,2019
2019-02-08 00:00:00,20190208,Friday,February,2,Feb,1,2019
2019-02-09 00:00:00,20190209,Saturday,February,2,Feb,1,2019
2019-02-10 00:00:00,20190210,Sunday,February,2,Feb,1,2019
2019-02-11 00:00:00,20190211,Monday,February,2,Feb,1,2019
2019-02-12 00:00:00,20190212,Tuesday,February,2,Feb,1,2019
2019-02-13 00:00:00,20190213,Wednesday,February,2,Feb,1,2019
2019-02-14 00:00:00,20190214,Thursday,February,2,Feb,1,2019
2019-02-15 00:00:00,20190215,Friday,February,2,Feb,1,2019
2019-02-16 00:00:00,20190216,Saturday,February,2,Feb,1,2019
2019-02-17 00:00:00,20190217,Sunday,February,2,Feb,1,2019
2019-02-18 00:00:00,20190218,Monday,February,2,Feb,1,2019
2019-02-19 00:00:00,20190219,Tuesday,February,2,Feb,1,2019
2019-02-20 00:00:00,20190220,Wednesday,February,2,Feb,1,2019
2019-02-21 00:00:00,20190221,Thursday,February,2,Feb,1,2019
2019-02-22 00:00:00,20190222,Friday,February,2,Feb,1,2019
2019-02-23 00:00:00,20190223,Saturday,February,2,Feb,1,2019
2019-02-24 00:00:00,20190224,Sunday,February,2,Feb,1,2019
2019-02-25 00:00:00,20190225,Monday,February,2,Feb,1,2019
2019-02-26 00:00:00,20190226,Tuesday,February,2,Feb,1,2019
2019-02-27 00:00:00,20190227,Wednesday,February,2,Feb,1,2019
2019-02-28 00:00:00,20190228,Thursday,February,2,Feb,1,2019
2019-03-01 00:00:00,20190301,Friday,March,3,Mar,1,2019
2019-03-02 00:00:00,20190302,Saturday,March,3,Mar,1,2019
2019-03-03 00:00:00,20190303,Sunday,March,3,Mar,1,2019
2019-03-04 00:00:00,20190304,Monday,March,3,Mar,1,2019
2019-03-05 00:00:00,20190305,Tuesday,March,3,Mar,1,2019
2019-03-06 00:00:00,20190306,Wednesday,March,3,Mar,1,2019
2019-03-07 00:00:00,20190307,Thursday,March,3,Mar,1,2019
2019-03-08 00:00:00,20190308,Friday,March,3,Mar,1,2019
2019-03-09 00:00:00,20190309,Saturday,March,3,Mar,1,2019
2019-03-10 00:00:00,20190310,Sunday,March,3,Mar,1,2019
2019-03-11 00:00:00,20190311,Monday,March,3,Mar,1,2019
2019-03-12 00:00:00,20190312,Tuesday,March,3,Mar,1,2019
2019-03-13 00:00:00,20190313,Wednesday,March,3,Mar,1,2019
2019-03-14 00:00:00,20190314,Thursday,March,3,Mar,1,2019
2019-03-15 00:00:00,20190315,Friday,March,3,Mar,1,2019
2019-03-16 00:00:00,20190316,Saturday,March,3,Mar,1,2019
2019-03-17 00:00:00,20190317,Sunday,March,3,Mar,1,2019
2019-03-18 00:00:00,20190318,Monday,March,3,Mar,1,2019
2019-03-19 00:00:00,20190319,Tuesday,March,3,Mar,1,2019
2019-03-20 00:00:00,20190320,Wednesday,March,3,Mar,1,2019
2019-03-21 00:00:00,20190321,Thursday,March,3,Mar,1,2019
2019-03-22 00:00:00,20190322,Friday,March,3,Mar,1,2019
2019-03-23 00:00:00,20190323,Saturday,March,3,Mar,1,2019
2019-03-24 00:00:00,20190324,Sunday,March,3,Mar,1,2019
2019-03-25 00:00:00,20190325,Monday,March,3,Mar,1,2019
2019-03-26 00:00:00,20190326,Tuesday,March,3,Mar,1,2019
2019-03-27 00:00:00,20190327,Wednesday,March,3,Mar,1,2019
2019-03-28 00:00:00,20190328,Thursday,March,3,Mar,1,2019
2019-03-29 00:00:00,20190329,Friday,March,3,Mar,1,2019
2019-03-30 00:00:00,20190330,Saturday,March,3,Mar,1,2019
2019-03-31 00:00:00,20190331,Sunday,March,3,Mar,1,2019
2019-04-01 00:00:00,20190401,Monday,April,4,Apr,2,2019
2019-04-02 00:00:00,20190402,Tuesday,April,4,Apr,2,2019
2019-04-03 00:00:00,20190403,Wednesday,April,4,Apr,2,2019
2019-04-04 00:00:00,20190404,Thursday,April,4,Apr,2,2019
2019-04-05 00:00:00,20190405,Friday,April,4,Apr,2,2019
2019-04-06 00:00:00,20190406,Saturday,April,4,Apr,2,2019
2019-04-07 00:00:00,20190407,Sunday,April,4,Apr,2,2019
2019-04-08 00:00:00,20190408,Monday,April,4,Apr,2,2019
2019-04-09 00:00:00,20190409,Tuesday,April,4,Apr,2,2019
2019-04-10 00:00:00,20190410,Wednesday,April,4,Apr,2,2019
2019-04-11 00:00:00,20190411,Thursday,April,4,Apr,2,2019
2019-04-12 00:00:00,20190412,Friday,April,4,Apr,2,2019
2019-04-13 00:00:00,20190413,Saturday,April,4,Apr,2,2019
2019-04-14 00:00:00,20190414,Sunday,April,4,Apr,2,2019
2019-04-15 00:00:00,20190415,Monday,April,4,Apr,2,2019
2019-04-16 00:00:00,20190416,Tuesday,April,4,Apr,2,2019
2019-04-17 00:00:00,20190417,Wednesday,April,4,Apr,2,2019
2019-04-18 00:00:00,20190418,Thursday,April,4,Apr,2,2019
2019-04-19 00:00:00,20190419,Friday,April,4,Apr,2,2019
2019-04-20 00:00:00,20190420,Saturday,April,4,Apr,2,2019
2019-04-21 00:00:00,20190421,Sunday,April,4,Apr,2,2019
2019-04-22 00:00:00,20190422,Monday,April,4,Apr,2,2019
2019-04-23 00:00:00,20190423,Tuesday,April,4,Apr,2,2019
2019-04-24 00:00:00,20190424,Wednesday,April,4,Apr,2,2019
2019-04-25 00:00:00,20190425,Thursday,April,4,Apr,2,2019
2019-04-26 00:00:00,20190426,Friday,April,4,Apr,2,2019
2019-04-27 00:00:00,20190427,Saturday,April,4,Apr,2,2019
2019-04-28 00:00:00,20190428,Sunday,April,4,Apr,2,2019
2019-04-29 00:00:00,20190429,Monday,April,4,Apr,2,2019
2019-04-30 00:00:00,20190430,Tuesday,April,4,Apr,2,2019
2019-05-01 00:00:00,20190501,Wednesday,May,5,May,2,2019
2019-05-02 00:00:00,20190502,Thursday,May,5,May,2,2019
2019-05-03 00:00:00,20190503,Friday,May,5,May,2,2019
2019-05-04 00:00:00,20190504,Saturday,May,5,May,2,2019
2019-05-05 00:00:00,20190505,Sunday,May,5,May,2,2019
2019-05-06 00:00:00,20190506,Monday,May,5,May,2,2019
